step,Cumulative Reward,Episode Length,Policy Loss,Value Loss,Policy/Beta,Entropy,Policy/Epsilon,Policy/Extrinsic Reward,Policy/Extrinsic Value Estimate,Learning Rate
30000,4.209447860717773,53.64234924316406,0.09771101921796799,0.2888375520706177,0.0021465730387717485,1.3600711822509766,0.2874932587146759,4.209447860717773,0.4228912591934204,0.00031432535615749657
60000,75.02565002441406,753.4871826171875,0.09629490971565247,0.23786848783493042,0.0020183329470455647,1.2883459329605103,0.27623963356018066,75.02565002441406,10.400636672973633,0.0002954590891022235
90000,90.03530883789062,889.6764526367188,0.09548497200012207,0.03129463270306587,0.0018909897189587355,1.2448629140853882,0.2650647461414337,90.03530883789062,15.598136901855469,0.00027672480791807175
120000,78.81053924560547,801.26318359375,0.09368901699781418,0.38078799843788147,0.0017525205621495843,1.2292066812515259,0.2529135048389435,78.81053924560547,17.14134979248047,0.0002563536982052028
150000,96.16130828857422,961.6774291992188,0.09490038454532623,0.11952143907546997,0.0016131956363096833,1.2067620754241943,0.24068714678287506,96.16130828857422,18.14678192138672,0.0002358566998736933
180000,98.0400161743164,979.7666625976562,0.09231757372617722,0.03650005906820297,0.0014823642559349537,1.1706182956695557,0.2292061448097229,98.0400161743164,19.191492080688477,0.00021660923084709793
210000,100.00001525878906,999.0,0.09425309300422668,0.0015045019099488854,0.0013510112185031176,1.127695918083191,0.21767935156822205,100.00001525878906,19.555578231811523,0.0001972850295715034
240000,100.00001525878906,999.0,0.0922192856669426,0.0005769093404524028,0.0012183827348053455,1.0904161930084229,0.2060406506061554,100.00001525878906,19.793865203857422,0.00017777318134903908
270000,99.90001678466797,998.3666381835938,0.09245267510414124,0.009107701480388641,0.0010857682209461927,1.0589118003845215,0.19440317153930664,99.90001678466797,19.887495040893555,0.00015826339949853718
300000,97.35485076904297,973.6129150390625,0.09736901521682739,0.06212085112929344,0.0009552433039061725,1.047046184539795,0.18294906616210938,97.35485076904297,19.94345474243164,0.00013906102685723454
330000,94.53439331054688,945.03125,0.09138557314872742,0.10584228485822678,0.0008267388329841197,1.0264486074447632,0.1716722548007965,94.53439331054688,19.674827575683594,0.00012015589163638651
360000,92.73126220703125,927.34375,0.0964757576584816,0.1375976800918579,0.0006978718447498977,1.0119215250015259,0.16036364436149597,92.73126220703125,19.799705505371094,0.00010119742364622653
390000,100.00001525878906,999.0,0.09258728474378586,0.002200230723246932,0.0005677337758243084,0.9954637289047241,0.1489434838294983,100.00001525878906,19.855262756347656,8.205196354538202e-05
420000,100.00001525878906,999.0,0.09339237213134766,0.0002964085142593831,0.00043510529212653637,0.9690797328948975,0.13730476796627045,100.00001525878906,19.93239402770996,6.254012259887531e-05
450000,100.00001525878906,999.0,0.09090260416269302,0.00014110462507233024,0.0003024767793249339,0.9542257785797119,0.1256660670042038,100.00001525878906,19.975473403930664,4.302827437641099e-05
480000,100.00001525878906,999.0,0.0911075621843338,9.437979315407574e-05,0.00016984829562716186,0.9443466663360596,0.11402735859155655,100.00001525878906,19.99319839477539,2.351642797293607e-05
