step,Cumulative Reward,Episode Length,Policy Loss,Value Loss,Policy/Beta,Entropy,Policy/Epsilon,Policy/Extrinsic Reward,Policy/Extrinsic Value Estimate,Learning Rate
30000,3.9537007808685303,51.05498123168945,0.1017218828201294,0.1191972941160202,0.006818519905209541,1.345618486404419,0.2562302350997925,3.9537007808685303,0.37459033727645874,0.0003452925302553922
60000,96.85807800292969,967.9354858398438,0.09902442246675491,0.014665473252534866,0.0064215948805212975,1.2184466123580933,0.24712228775024414,96.85807800292969,7.075395584106445,0.00032516257488168776
90000,91.8333511352539,918.6666870117188,0.09730662405490875,0.012265203520655632,0.005970770493149757,1.183294653892517,0.23677754402160645,91.8333511352539,11.109667778015137,0.000302299129543826
120000,92.29064178466797,923.28125,0.09630517661571503,0.017431780695915222,0.005520878825336695,1.140616774559021,0.22645419836044312,92.29064178466797,13.984641075134277,0.0002794829779304564
150000,88.72354125976562,887.5294189453125,0.0942559614777565,0.013996465131640434,0.0051137232221663,1.1288598775863647,0.2171114832162857,88.72354125976562,15.51578140258789,0.0002588341885711998
180000,58.92353820800781,592.9804077148438,0.09611079096794128,0.12618115544319153,0.00470200227573514,1.1224339008331299,0.20766402781009674,58.92353820800781,13.58405590057373,0.0002379538636887446
210000,100.00001525878906,999.0,0.09201899915933609,0.013516045175492764,0.004297686740756035,1.1038960218429565,0.19838647544384003,100.00001525878906,18.04295539855957,0.0002174490800825879
240000,100.00001525878906,999.0,0.09555228054523468,0.0016372590325772762,0.0038769650273025036,1.0785059928894043,0.18873247504234314,100.00001525878906,18.65570068359375,0.00019611229072324932
270000,93.85939025878906,938.28125,0.09252207726240158,0.02102155052125454,0.0034558435436338186,1.070327639579773,0.17906931042671204,93.85939025878906,18.968982696533203,0.0001747552159940824
300000,96.13227081298828,961.0322875976562,0.09074490517377853,0.02545979432761669,0.0030418019741773605,1.0767461061477661,0.16956859827041626,96.13227081298828,19.34564971923828,0.00015375720977317542
330000,100.00001525878906,999.0,0.09433621168136597,0.0038950375746935606,0.0026305068749934435,1.0745753049850464,0.16013090312480927,100.00001525878906,19.5428466796875,0.00013289847993291914
360000,100.00001525878906,999.0,0.09414855390787125,0.00034544317168183625,0.0022097851615399122,1.0634287595748901,0.15047690272331238,100.00001525878906,19.69814109802246,0.00011156167602166533
390000,100.00001525878906,999.0,0.0917399674654007,0.0002758144401013851,0.0017890635645017028,1.0518405437469482,0.1408229023218155,100.00001525878906,19.788768768310547,9.022487938636914e-05
420000,100.00001525878906,999.0,0.09582071006298065,0.00017236737767234445,0.0013683419674634933,1.0467513799667358,0.1311689019203186,100.00001525878906,19.85094451904297,6.888808275107294e-05
450000,100.00001525878906,999.0,0.09697797894477844,0.00019465782679617405,0.000947620312217623,1.0444337129592896,0.12151490151882172,100.00001525878906,19.897991180419922,4.755128611577675e-05
480000,96.81936645507812,967.5484008789062,0.09325192123651505,0.009898602031171322,0.0005266648950055242,1.0364152193069458,0.11185553669929504,96.81936645507812,19.833385467529297,2.6202635126537643e-05
