step,Cumulative Reward,Episode Length,Policy Loss,Value Loss,Policy/Beta,Entropy,Policy/Epsilon,Policy/Extrinsic Reward,Policy/Extrinsic Value Estimate,Learning Rate
30000,1.7029025554656982,27.142189025878906,0.09922600537538528,0.26950812339782715,0.0017268839292228222,1.4171876907348633,0.1842948943376541,1.7029025554656982,0.3013167381286621,9.205468086292967e-05
60000,25.75545883178711,273.8908996582031,0.09591255336999893,0.6620522737503052,0.0016289182240143418,1.3885914087295532,0.179485023021698,25.75545883178711,3.0548880100250244,8.68020360940136e-05
90000,100.00001525878906,999.0,0.1007726788520813,0.07412531226873398,0.0015268604038283229,1.357317328453064,0.17447422444820404,100.00001525878906,11.684937477111816,8.132997754728422e-05
120000,91.83638000488281,919.6969604492188,0.09449899941682816,0.4045267105102539,0.0014136327663436532,1.3462233543395996,0.1689150184392929,91.83638000488281,15.267860412597656,7.525902765337378e-05
150000,100.00001525878906,999.0,0.09713752567768097,0.030740244314074516,0.0013017946621403098,1.331787109375,0.1634240299463272,100.00001525878906,17.317319869995117,6.926256901351735e-05
180000,100.00001525878906,999.0,0.09566404670476913,0.011396849527955055,0.0011952680069953203,1.3238086700439453,0.15819382667541504,100.00001525878906,18.500699996948242,6.355090590659529e-05
210000,100.00001525878906,999.0,0.09664832800626755,0.009510116651654243,0.0010887414682656527,1.3179022073745728,0.15296362340450287,100.00001525878906,19.174091339111328,5.7839246437652037e-05
240000,100.00001525878906,999.0,0.09457734227180481,0.005224872846156359,0.0009822148131206632,1.3143939971923828,0.1477334201335907,100.00001525878906,19.528730392456055,5.2127583330729976e-05
270000,100.00001525878906,999.0,0.09228362888097763,0.004681084305047989,0.0008756882743909955,1.3118653297424316,0.14250323176383972,100.00001525878906,19.72555160522461,4.6415920223807916e-05
300000,100.00001525878906,999.0,0.09243807941675186,0.0047327494248747826,0.0007691616774536669,1.3064957857131958,0.13727302849292755,100.00001525878906,19.85519027709961,4.0704257116885856e-05
330000,100.00001525878906,999.0,0.09148430079221725,0.00458779139444232,0.0006626351387239993,1.3037457466125488,0.13204282522201538,100.00001525878906,19.902545928955078,3.49925976479426e-05
360000,100.00001525878906,999.0,0.09313591569662094,0.003569207387045026,0.0005561085417866707,1.3003629446029663,0.1268126219511032,100.00001525878906,19.94936752319336,2.9280934541020542e-05
390000,100.00001525878906,999.0,0.09300802648067474,0.0047449455596506596,0.0004495819448493421,1.300284504890442,0.12158242613077164,100.00001525878906,19.968568801879883,2.3569273253087886e-05
420000,100.00001525878906,999.0,0.09449110180139542,0.003786038374528289,0.000343055377015844,1.3006681203842163,0.11635222285985947,100.00001525878906,19.974811553955078,1.785761196515523e-05
450000,100.00001525878906,999.0,0.09423462301492691,0.003572542918846011,0.0002365287800785154,1.3008105754852295,0.1111220195889473,100.00001525878906,19.979188919067383,1.2145948858233169e-05
480000,100.00001525878906,999.0,0.09197939932346344,0.005284424871206284,0.00013000219769310206,1.3000295162200928,0.10589182376861572,100.00001525878906,19.988847732543945,6.434287115553161e-06
