step,Cumulative Reward,Episode Length,Policy Loss,Value Loss,Policy/Beta,Entropy,Policy/Epsilon,Policy/Extrinsic Reward,Policy/Extrinsic Value Estimate,Learning Rate
30000,2.972991943359375,41.01106643676758,0.09895002096891403,0.2935999929904938,0.007834995165467262,1.3936223983764648,0.26103001832962036,2.972991943359375,0.3317416310310364,0.00010885238589253277
60000,98.76335144042969,987.3666381835938,0.09828983247280121,0.06805320084095001,0.007346940226852894,1.348575472831726,0.25098633766174316,98.76335144042969,8.419022560119629,0.00010206312435911968
90000,95.90626525878906,959.4375,0.09849869459867477,0.07478629797697067,0.0068672290071845055,1.3486425876617432,0.24111440777778625,95.90626525878906,13.530473709106445,9.538993617752567e-05
120000,100.00001525878906,999.0,0.09265739470720291,0.00647161528468132,0.006383751984685659,1.3162397146224976,0.23116496205329895,100.00001525878906,16.37044334411621,8.866436110110953e-05
150000,100.00001525878906,999.0,0.09408649802207947,0.003059360198676586,0.005898121744394302,1.2933619022369385,0.22117121517658234,100.00001525878906,17.98112678527832,8.19088309071958e-05
180000,100.00001525878906,999.0,0.09568572789430618,0.002361154416576028,0.005412491038441658,1.2792243957519531,0.21117746829986572,100.00001525878906,18.8707332611084,7.515330798923969e-05
210000,100.00001525878906,999.0,0.09554871916770935,0.0020920010283589363,0.004926860798150301,1.2700680494308472,0.2011837214231491,100.00001525878906,19.3591251373291,6.839777779532596e-05
240000,100.00001525878906,999.0,0.09447908401489258,0.0023536053486168385,0.004441230557858944,1.2677236795425415,0.1911899745464325,100.00001525878906,19.649614334106445,6.164225487736985e-05
270000,99.04668426513672,989.8333129882812,0.09607230126857758,0.037315353751182556,0.003956342115998268,1.266024112701416,0.18121148645877838,99.04668426513672,19.80501365661621,5.489704926731065e-05
300000,100.00001525878906,999.0,0.09763254970312119,0.00940948911011219,0.003474421799182892,1.2521077394485474,0.17129407823085785,100.00001525878906,19.847829818725586,4.8193127440754324e-05
330000,100.00001525878906,999.0,0.0971650555729866,0.0022751525975763798,0.002988791326060891,1.2404998540878296,0.16130033135414124,100.00001525878906,19.909696578979492,4.14376008848194e-05
360000,100.00001525878906,999.0,0.09385158866643906,0.0015359797980636358,0.002503161085769534,1.2406539916992188,0.15130658447742462,100.00001525878906,19.94293785095215,3.468207432888448e-05
390000,100.00001525878906,999.0,0.09531282633543015,0.0017441429663449526,0.002017530845478177,1.2379443645477295,0.14131282269954681,100.00001525878906,19.959989547729492,2.7926545953960158e-05
420000,93.89688873291016,938.65625,0.09515924751758575,0.0551922544836998,0.0015317144570872188,1.2410224676132202,0.13131524622440338,93.89688873291016,20.00896644592285,2.116843097610399e-05
450000,96.85807800292969,967.9354858398438,0.09372934699058533,0.00668318709358573,0.0010451533598825336,1.236360788345337,0.12130234390497208,96.85807800292969,19.97272300720215,1.439995594409993e-05
480000,100.00001525878906,999.0,0.09681017696857452,0.0721905454993248,0.000558924104552716,1.2322596311569214,0.11129626631736755,100.00001525878906,19.965417861938477,7.636096597707365e-06
