step,Cumulative Reward,Episode Length,Policy Loss,Value Loss,Policy/Beta,Entropy,Policy/Epsilon,Policy/Extrinsic Reward,Policy/Extrinsic Value Estimate,Learning Rate
30000,1.3525367975234985,23.533933639526367,0.05440021678805351,0.10944579541683197,0.005167674273252487,1.4224019050598145,0.10618255287408829,1.3525367975234985,0.1442599594593048,0.0004641367995645851
60000,3.490978717803955,44.98776626586914,0.054384078830480576,0.36548370122909546,0.004861258435994387,1.3977673053741455,0.10581525415182114,3.490978717803955,0.7915335893630981,0.0004365626082289964
90000,24.122692108154297,257.9831848144531,0.048150986433029175,0.6557974815368652,0.004549997393041849,1.3503975868225098,0.10544213652610779,24.122692108154297,3.0031323432922363,0.000408552325097844
120000,89.12425231933594,892.5757446289062,0.050439320504665375,0.1857762485742569,0.004221694078296423,1.317607045173645,0.10504859685897827,89.12425231933594,8.120752334594727,0.0003790085029322654
150000,100.00001525878906,999.0,0.04723091050982475,0.049125246703624725,0.003888118779286742,1.310042381286621,0.10464873909950256,100.00001525878906,11.126904487609863,0.00034899020101875067
180000,98.36775970458984,982.5,0.04647162929177284,0.05982493981719017,0.003596558468416333,1.3014793395996094,0.10429923981428146,98.36775970458984,13.23656177520752,0.00032275280682370067
210000,96.81936645507812,968.53125,0.04671032726764679,0.022221874445676804,0.0032587985042482615,1.290177345275879,0.10389436781406403,96.81936645507812,14.686320304870605,0.0002923579595517367
240000,98.14668273925781,980.2069091796875,0.048036519438028336,0.049520399421453476,0.0029264423064887524,1.2872765064239502,0.10349597036838531,98.14668273925781,16.133831024169922,0.00026244937907904387
270000,91.6091079711914,916.0908813476562,0.049283768981695175,0.06411619484424591,0.0026431940495967865,1.2812891006469727,0.1031564325094223,91.6091079711914,16.657251358032227,0.00023696001153439283
300000,100.00001525878906,999.0,0.048122186213731766,0.04412446543574333,0.0023122956044971943,1.2758532762527466,0.10275978595018387,100.00001525878906,17.75286293029785,0.00020718261657748371
330000,100.00001525878906,999.0,0.05125795677304268,0.016079669818282127,0.001976331230252981,1.268844485282898,0.10235705971717834,100.00001525878906,18.30460548400879,0.0001769493246683851
360000,100.00001525878906,999.0,0.05033494159579277,0.008314655162394047,0.0016883615171536803,1.2593529224395752,0.10201186686754227,100.00001525878906,18.730039596557617,0.0001510350703028962
390000,100.00001525878906,999.0,0.0488208644092083,0.006371046882122755,0.0013523970264941454,1.2526683807373047,0.10160914808511734,100.00001525878906,19.034698486328125,0.00012080177839379758
420000,100.00001525878906,999.0,0.050397440791130066,0.0054326970130205154,0.0010164324194192886,1.2516193389892578,0.10120642185211182,100.00001525878906,19.279680252075195,9.056848648469895e-05
450000,100.00001525878906,999.0,0.04792490229010582,0.0050660548731684685,0.0007284628227353096,1.2486979961395264,0.10086122900247574,100.00001525878906,19.453405380249023,6.465423211921006e-05
480000,100.00001525878906,999.0,0.04835154861211777,0.004246815107762814,0.0003924983029719442,1.2457348108291626,0.10045850276947021,100.00001525878906,19.58590316772461,3.4420943848090246e-05
