step,Cumulative Reward,Episode Length,Policy Loss,Value Loss,Policy/Beta,Entropy,Policy/Epsilon,Policy/Extrinsic Reward,Policy/Extrinsic Value Estimate,Learning Rate
30000,5.97981071472168,71.73933410644531,0.0982135534286499,0.32043156027793884,0.004807683639228344,1.3346402645111084,0.15939569473266602,5.97981071472168,0.866431713104248,0.00047794802230782807
60000,67.50000762939453,678.25,0.09623946249485016,0.21245183050632477,0.004506055265665054,1.290439248085022,0.15566152334213257,67.50000762939453,13.025405883789062,0.00044789965613745153
90000,83.62501525878906,837.388916015625,0.09643108397722244,0.16804391145706177,0.004209788981825113,1.2853209972381592,0.15199372172355652,83.62501525878906,16.93009376525879,0.0004183854616712779
120000,95.3613052368164,953.3225708007812,0.09729337692260742,0.06303375214338303,0.00391490338370204,1.2485151290893555,0.1483430117368698,95.3613052368164,19.12010955810547,0.0003890087828040123
150000,96.50968933105469,964.8064575195312,0.09708322584629059,0.022626562044024467,0.0036266003735363483,1.209073543548584,0.14477379620075226,96.50968933105469,19.60214614868164,0.00036028787144459784
180000,95.17501831054688,951.4375,0.09575879573822021,0.0411783866584301,0.0033205992076545954,1.1727782487869263,0.14098547399044037,95.17501831054688,19.68425178527832,0.00032980385003611445
210000,91.10304260253906,911.0302734375,0.09290517121553421,0.02629583142697811,0.003009605221450329,1.1510567665100098,0.1371353417634964,91.10304260253906,19.63523292541504,0.00029882247326895595
240000,96.83549499511719,967.7096557617188,0.10214433073997498,0.010268067009747028,0.002712649991735816,1.1021310091018677,0.13345901668071747,96.83549499511719,19.869117736816406,0.0002692395937629044
270000,96.79356384277344,967.2903442382812,0.09191054105758667,0.010173262096941471,0.0024159750901162624,1.0955843925476074,0.1297861635684967,96.79356384277344,19.81140899658203,0.00023968468303792179
300000,96.96668243408203,969.0333251953125,0.08991248905658722,0.029602980241179466,0.0021213763393461704,1.0694729089736938,0.12613900005817413,96.96668243408203,19.942293167114258,0.00021033659868407995
330000,100.00001525878906,999.0,0.09442522376775742,0.0027891057543456554,0.0018321722745895386,1.0426028966903687,0.12255863845348358,100.00001525878906,19.919803619384766,0.00018152593111153692
360000,100.00001525878906,999.0,0.09056207537651062,0.0008550698985345662,0.0015358648961409926,1.0144070386886597,0.11889032274484634,100.00001525878906,19.9632568359375,0.00015200761845335364
390000,100.00001525878906,999.0,0.08845208585262299,0.0006409022607840598,0.0012395574012771249,0.9926754236221313,0.1152220144867897,100.00001525878906,19.98430824279785,0.00012248930579517037
420000,96.8387222290039,967.741943359375,0.09039326757192612,0.020491572096943855,0.0009431274957023561,0.9827777147293091,0.11155219376087189,96.8387222290039,19.949098587036133,9.295878408011049e-05
450000,100.00001525878906,999.0,0.09700380265712738,0.0010571082821115851,0.0006466362974606454,0.9597601294517517,0.10788160562515259,100.00001525878906,19.9954776763916,6.342216511256993e-05
480000,94.13439178466797,941.03125,0.09527865052223206,0.1387600600719452,0.0003511733375489712,0.9512938857078552,0.10422375053167343,94.13439178466797,19.828123092651367,3.398798071430065e-05
